"id";"name";"link";"visited"
132;"Fitness Finesse Premium";"http://www.justdial.com/Delhi/Fitness-Finesse-Premium-<near>-Greater-Kailash-Ii/011PXX11-XX11-150508101359-N7F7_BZDET?xid=RGVsaGkgR3ltcw==";"1"
133;"Rajeev Kumar Personal Trainer";"http://www.justdial.com/Delhi/Rajeev-Kumar-Personal-Trainer-<near>-Katwaria-Sarai/011PXX11-XX11-150623141044-K9L8_BZDET?xid=RGVsaGkgR3ltcw==";"1"
134;"Abb Initio";"http://www.justdial.com/Delhi/Abb-Initio-<near>-Near-Priya-Complex-Vasant-Vihar/011PXX11-XX11-130329175310-T2W4_BZDET?xid=RGVsaGkgR3ltcw==";"1"
138;"The Gold Gym";"http://www.justdial.com/Delhi/The-Gold-Gym-<near>-Inderpuri/011PXX11-XX11-120814133211-P7A9_BZDET?xid=RGVsaGkgR3ltcw==";"1"
148;"Shape Up Zone";"http://www.justdial.com/Delhi/Shape-Up-Zone-<near>-Near-Metro-Station-Uttam-Nagar/011PXX11-XX11-120903124506-E1Y3_BZDET?xid=RGVsaGkgR3ltcw==";"1"
150;"Guys N Divas";"http://www.justdial.com/Delhi/Guys-N-Divas-<near>-Near-Ramesh-Nagar-Metro-Station-Parking-side-Ramesh-Nagar/011PXX11-XX11-150117173750-L2S3_BZDET?xid=RGVsaGkgR3ltcw==";"1"
159;"One Dream Fitness And Clubs...";"http://www.justdial.com/Delhi/One-Dream-Fitness-And-Clubs-Pvt-Ltd-<near>-Near-Old-Sabzi-Mandi-Near-Geeta-Colony-Police-Station-Jheel-Khurenja-Krishna-Nagar/011PXX11-XX11-150226122128-P8X3_BZDET?xid=RGVsaGkgR3ltcw==";"1"
160;"Boxx Fitness Xxtreme";"http://www.justdial.com/Delhi/Boxx-Fitness-Xxtreme-<near>-Sohna-Road/011PXX11-XX11-150729123850-W3U3_BZDET?xid=RGVsaGkgR3ltcw==";"1"
164;"Goodways Fitness";"http://www.justdial.com/Delhi/Goodways-Fitness-<near>-Opposite-Punjab-And-Sind-Bank-Jheel-Chowk/011PXX11-XX11-141108150420-Y9R2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
170;"Elite Fitness Gym And Spa";"http://www.justdial.com/delhi/Elite-Fitness-Gym-And-Spa-<near>-Near-Panchshila-Rendezvous-Malviya-Nagar/011PXX11-XX11-131123144536-Y9J8_BZDET?xid=RGVsaGkgR3ltcw==";"1"
172;"Invincible Fitness Club Unisex";"http://www.justdial.com/Delhi/Invincible-Fitness-Club-Unisex-<near>-Near-Peer-Baba-Adarsh-Nagar/011PXX11-XX11-141001110336-E8T9_BZDET?xid=RGVsaGkgR3ltcw==";"1"
176;"Kailash Institute Of Naturo...";"http://www.justdial.com/Delhi/Kailash-Institute-Of-Naturopathy-Ayurveda-Yoga-<near>-Near-Pari-Chowk-Greater-Noida/011PXX11-XX11-110526123230-A6Z1_BZDET?xid=RGVsaGkgR3ltcw==";"1"
177;"Fitness Square";"http://www.justdial.com/Delhi/Fitness-Square-<near>-Lawrence-Road/011PXX11-XX11-150412173028-J7M1_BZDET?xid=RGVsaGkgR3ltcw==";"1"
178;"La Sona";"http://www.justdial.com/Delhi/La-Sona-<near>-Opposite-Dominos-GTB-Nagar/011PXX11-XX11-120524134218-M1X7_BZDET?xid=RGVsaGkgR3ltcw==";"1"
180;"He R She";"http://www.justdial.com/Delhi/He-R-She-<near>-Near-Golf-Course-Metro-Station-Noida-Sector-30/011PXX11-XX11-140908202127-C7E2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
181;"R P International";"http://www.justdial.com/Delhi/R-P-International-<near>-Near-Rajendra-Place-Metro-Station-West-Patel-Nagar/011PXX11-XX11-140205174502-F9D6_BZDET?xid=RGVsaGkgR3ltcw==";"1"
182;"Say Fitness";"http://www.justdial.com/Delhi/Say-Fitness-<near>-Lajpat-Nagar-4-lajpat-Nagar/011PXX11-XX11-120725193910-W2H2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
183;"Fitness sanctuary";"http://www.justdial.com/delhi/Fitness-sanctuary-<near>-Opp-rajkiya-inter-college-Noida-Sector-22/011PXX11-XX11-151015133316-Q4H8_BZDET?xid=RGVsaGkgR3ltcw==";"1"
184;"Yamuna Sports Complex";"http://www.justdial.com/Delhi/Yamuna-Sports-Complex-<near>-Near-Vivekanand-Mahila-College-Surajmal-Vihar-Anand-Vihar/011P70784_BZDET?xid=RGVsaGkgR3ltcw==";"1"
185;"Jawaharlal Nehru Stadium";"http://www.justdial.com/Delhi/Jawaharlal-Nehru-Stadium-<near>-Lodhi-Road/011P61644_BZDET?xid=RGVsaGkgR3ltcw==";"1"
